koi_disposition,koi_period,koi_duration,koi_depth,koi_sma,koi_incl,koi_teq,koi_dor,koi_ldm_coeff2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_smass,ra,koi_imag,koi_zmag,koi_fwm_stat_sig,koi_fwm_sdec,koi_dicco_msky,koi_dikco_msky
0,-0.420680212,-0.379863277,-0.132133109,-0.4542632,0.060942985,0.109616223,-0.31943217,0.736341359,0.593685619,0.312725482,-0.453551324,0.169642319,-0.711946071,0.538776352,-0.155224821,-0.441943983,-0.045157105,0.875560148,-1.050149897,-1.077034336,-0.528058325,-0.36889293,-0.621589684,-0.601487785
1,-0.104546203,0.218305814,-0.330220031,0.154394592,0.541066794,-0.594831003,-0.082281613,0.126054546,-0.277642916,-0.353762143,-0.453551324,-0.685616691,-0.687779063,0.137286994,-0.301098041,0.965167999,0.12171147,-0.909055439,0.795089512,0.86744236,-0.195786481,-0.167293343,-0.293636211,-0.245634054
0,-0.443097566,2.094748552,-0.207072765,-0.534989733,-3.067027796,-0.079833263,-0.368295252,-0.73724062,-0.276596163,-0.03375944,-0.453551324,0.045241009,0.036107117,-0.487923845,0.679618834,-0.301232784,-0.523513688,1.351917793,0.666493446,0.66229484,-0.528058325,-0.948660084,-0.566476543,1.995307202
1,-0.459270991,-0.602815645,-0.332871824,-0.60051671,0.341015207,1.075373085,-0.355645765,-0.347761096,-0.275743717,-0.338803567,-0.453551324,2.588556693,0.510267553,-0.328295546,-0.146248008,0.965167999,-0.348301684,0.593995999,-1.025039422,-1.059335334,-0.528058325,0.632060936,-0.563145529,-0.584254427
0,0.600290585,-0.388453286,-0.316698776,1.279499535,0.506430997,0.67360952,0.357513449,-3.885277878,-0.273973239,-0.352432491,-0.453551324,-0.704622447,-0.539966901,-2.160393071,-7.188558198,-0.160521586,1.857144656,1.749516457,-0.978623091,-11.23545686,-0.528058325,0.339516857,3.233907652,3.263924244
1,-0.436828894,-0.399775433,-0.156756138,-0.504252852,0.501056477,0.075863728,-0.3159761,0.070852723,0.068823588,1.386751174,-0.453551324,-0.032509811,0.718778246,0.114310193,0.300348464,0.824456801,-0.003439961,0.597677663,0.53789738,0.587476332,-0.528058325,1.88306351,-0.623406601,-0.598766729
1,0.024706529,-0.292785302,-0.32520978,0.247280771,0.536289443,-0.859407009,0.380736049,-1.62506993,-0.276713883,-0.345673432,-0.453551324,-0.708078039,-0.441987482,-0.883366677,0.506815174,0.965167999,-0.618072548,-0.393331985,0.508982288,0.491740823,1.4996519,0.001510755,-0.475327886,-0.490529145
0,-0.414294807,-0.13102597,0.293952365,-0.446494538,0.542858301,-0.312834354,-0.302657256,-0.186755781,0.115086013,0.337545636,-0.453551324,-0.409169334,-0.711946071,-0.236388343,0.612292733,-0.230877185,-0.423392543,0.912850416,1.190008792,1.227053897,-0.528058325,0.084729626,-0.592821835,-0.596348012
1,-0.404523256,-0.156034672,-0.332981022,-0.393127206,0.461046159,0.038844863,-0.303989141,0.760875503,-0.27863667,-0.356975466,-0.453551324,-0.476553378,0.005570511,0.686311599,-0.211329906,0.718923403,0.569475482,-1.173838441,-1.054715438,-1.047267833,-0.523798429,1.343276503,-0.208846763,-0.16097896
0,-0.385078499,-0.211050945,-0.323689575,-0.355972735,-0.359463931,-0.337876528,-0.345789821,0.44193164,-0.276372614,-0.346227453,-0.453551324,-0.637238404,0.90611939,0.206217396,0.43724487,0.718923403,0.088337755,0.193942893,1.046194257,1.127295887,-0.528058325,-0.409670596,0.62693494,0.622080653
0,-0.460389314,-0.235614346,-0.332413622,-0.603894389,-2.09005945,1.317084497,-0.37054238,0.730207823,-0.278029766,-0.341573674,-0.453551324,3.352242516,1.016463324,0.658497577,0.336255718,-0.230877185,0.135617185,-0.178372485,0.901618798,0.980072372,0.835108213,-0.317603275,-0.211874958,-0.275868016
1,-0.299921472,0.245239368,-0.307384847,-0.167160468,0.386400045,-0.34985322,-0.275643908,0.727141056,-0.232846489,-0.058025573,0.661048345,-0.63032722,0.909678872,0.525473994,-0.26743499,0.261612008,0.205145758,-0.708119521,0.056993749,0.103971783,-0.528058325,1.202171341,-0.621892503,-0.600883106
0,-0.166632222,0.768712737,0.019887337,0.059819575,0.232927633,-0.604630114,-0.229540217,0.711807216,0.828604602,0.861317373,-0.453551324,-0.683888895,-0.187952891,0.594404396,0.246487583,0.12090081,0.116149185,0.183908306,0.715192548,0.76124835,-0.528058325,-0.3123658,-0.622800962,-0.593626955
1,-0.425362235,-0.583236747,-0.33258063,-0.4900666,0.428201869,-0.332432577,-0.265057135,-1.264724701,-0.274879823,-0.343789759,4.004847352,-0.310684964,0.05615262,-0.819273496,0.578629682,-0.793721978,-0.935122841,-0.506194248,-10.69561577,-11.23545686,-0.302283867,-0.593230797,0.642075913,0.585799899
1,-0.442992604,-0.426476281,-0.331772352,-0.529585446,0.435965065,0.15861178,-0.331863091,-0.406029686,-0.276012133,-0.34146287,0.661048345,0.173097911,-0.360306743,-0.180760299,0.190382498,0.965167999,-0.231493681,0.704271204,0.340818202,0.374283811,2.773360634,-0.144960236,-0.563145529,-0.54192688
0,-0.263675508,-0.244090874,2.364428007,-0.08238072,0.504042321,-0.394493616,0.030778298,0.849811772,4.196288167,6.845523045,0.661048345,-0.642421792,-2.585357511,1.07933582,-0.022816822,-0.160521586,0.513852623,-0.910135309,-1.76846165,-1.81395641,-0.528058325,-1.269025105,-0.61795585,-0.594231634
1,-0.423404128,-0.370598135,-0.330701786,-0.458654183,0.486724423,0.049732765,-0.301393674,0.711807216,-0.274401638,-0.331601291,-0.453551324,-0.519748277,-0.246403328,0.614962586,0.156719448,0.191256409,0.113368042,-1.067388041,-0.10508295,-0.059341733,-0.170227109,0.895482308,-0.596455669,-0.581231031
0,-0.406312174,-0.505524466,-0.332478926,-0.403260244,0.426410362,-0.05805746,-0.256177906,0.839078084,-0.279044404,-0.359967181,-0.453551324,-0.398802559,-0.512802435,0.885846973,0.206091922,-0.019810388,0.372014334,1.608175502,-0.249658409,-0.222655249,-0.528058325,0.116037279,-0.357228297,1.855626298
0,0.302602502,-0.243572313,-0.141768207,0.673881654,0.519568713,-0.852874268,0.438041229,-0.064085065,-0.149998826,0.000589881,-0.453551324,-0.716717019,0.804018467,-0.069504212,0.441733276,1.457657193,0.071650898,-0.012369223,0.012099264,0.039611777,-0.417301043,1.174317558,-0.624920698,-0.561276616
0,-0.45317585,-0.40582866,0.171907782,-0.561673399,-0.606094694,1.049242121,-0.354607578,0.760875503,0.22525138,0.249677858,-0.453551324,0.917777979,1.161090687,0.601660228,-0.379645159,0.683745603,0.655690912,-1.891981845,-10.69561577,-11.23545686,-0.528058325,-0.268406166,-0.617350211,-0.598464389
0,-0.399015312,-0.383425689,-0.329738276,-0.430619446,0.354152923,-0.459821025,-0.288826149,0.354528755,-0.278184866,-0.355756619,-0.453551324,-0.485192358,0.569280013,-0.496388982,0.666153614,-2.622967555,-1.063055416,1.593798278,0.882595711,0.856983859,-0.268204703,0.078928455,0.187846727,0.141360659
1,-0.243605464,-0.17183569,-0.328250189,-0.123588406,0.4717952,-0.71895308,-0.160896944,-1.694072208,-0.277328048,-0.350881232,0.661048345,-0.659699752,-0.270570335,-0.870064319,0.419291243,1.035523598,-0.643102834,-0.483754832,0.967058216,0.991335373,0.366519716,1.385300292,-0.557089139,-0.538903484
0,-0.447811283,-0.187062126,-0.331290597,-0.551202593,-0.115221845,0.009447529,-0.358015836,-0.786308907,-0.276905199,-0.346559866,-0.453551324,0.418444941,-0.705576472,-0.596761322,0.652688394,0.261612008,-0.462328544,1.192185358,1.043150563,1.090288883,-0.528058325,-0.500252779,1.172009964,1.163268571
0,-0.19352491,-0.063569986,-0.07646365,0.021989568,0.530914922,-0.631849868,-0.04075414,0.44193164,-0.016972482,1.032177542,-0.453551324,-0.67352212,0.107671434,0.345287505,0.408070226,0.718923403,0.202364615,-0.72149476,0.458000416,0.512657825,-0.528058325,-0.336000683,-0.628251712,-0.602999483
